"scenario_id","kind","comparison","factor","cohort","total_configurations","cohort_probability","excluded_probability","ci_available_probability","p_available_probability","ci_difference_joint_probability","p_difference_joint_probability","ci_difference_conditional_probability","p_difference_conditional_probability","ci_difference_mcse","p_difference_mcse","ci_difference_n","p_difference_n","ci_available_n","p_available_n","nonconverged_output_probability","convergence_unknown_output_probability","ci_delta_median","ci_delta_p99","ci_delta_max","p_delta_median","p_delta_p99","p_delta_max","beta_delta_median","beta_delta_p99"
"C100R00","simulation","SAS_parameter","threshold","common_point_converged",2500,0.9832,0.0032,0.9832,0.9832,0,0,0,0,0,0,0,0,2458,2458,0,0,5.40100755037631e-05,0.000469377853686836,0.00112868578573533,9.34169290978115e-06,0.000121069886814928,0.000215170408904508,2.84655641380471e-05,0.000251118771571024
"C100R00","simulation","SAS_parameter","threshold","common_inference_available",2500,0.9828,0.0032,0.9828,0.9828,0,0,0,0,0,0,0,0,2457,2457,0,0,5.40100755037631e-05,0.000469377853686836,0.00112868578573533,9.35827689696467e-06,0.000121069886814928,0.000215170408904508,2.84655641380471e-05,0.000251118771571024
"C40R50","simulation","SAS_parameter","threshold","all_outputs",2500,1,0.048,0.952,0.952,0,0,0,0,0,0,0,0,2380,2380,0.0508,0,8.81075200203085e-05,0.00126373883215436,0.0121560286789233,1.45236852873154e-05,0.000129879969274049,0.000861137580387195,4.41426772215259e-05,0.000599593450603564
"C40R50","simulation","SAS_parameter","threshold","both_point_converged",2500,0.9012,0.048,0.9012,0.9012,0,0,0,0,0,0,0,0,2253,2253,0,0,9.50705844671162e-05,0.00129758159615534,0.0121560286789233,1.55505419332513e-05,0.000130101723033738,0.000861137580387195,4.88037079073855e-05,0.000629331872514571
"C40R50","simulation","SAS_parameter","threshold","common_point_converged",2500,0.8516,0.048,0.8516,0.8516,0,0,0,0,0,0,0,0,2129,2129,0,0,8.90497037313587e-05,0.000759620900963043,0.00179983091437297,1.48365040313347e-05,0.000105880377626155,0.00020423723901497,4.50161074128097e-05,0.000384268288423861
"C40R50","simulation","SAS_parameter","threshold","common_inference_available",2500,0.8404,0.048,0.8404,0.8404,0,0,0,0,0,0,0,0,2101,2101,0,0,8.74658634195669e-05,0.000732179531414801,0.00179983091437297,1.48240061470517e-05,0.000105880377626155,0.00020423723901497,4.47235005063273e-05,0.000379146386228602
"C100R50","simulation","SAS_parameter","threshold","all_outputs",2500,1,0.004,0.996,0.996,0,0,0,0,0,0,0,0,2490,2490,0.0036,0,5.88586975882599e-05,0.000598809096021391,0.0016595913561801,9.76446143863274e-06,0.000129033464917772,0.000229480463447507,3.07364970496549e-05,0.000325596085528623
"C100R50","simulation","SAS_parameter","threshold","both_point_converged",2500,0.9924,0.004,0.9924,0.9924,0,0,0,0,0,0,0,0,2481,2481,0,0,5.91794317044148e-05,0.000598809096021391,0.0016595913561801,9.82337901578312e-06,0.000129033464917772,0.000229480463447507,3.0934536581595e-05,0.000325596085528623
"C100R50","simulation","SAS_parameter","threshold","common_point_converged",2500,0.982,0.004,0.982,0.982,0,0,0,0,0,0,0,0,2455,2455,0,0,5.84723839207602e-05,0.000563904174900376,0.00112868578571934,9.7700211161289e-06,0.000125031042631951,0.000229480463447507,3.0644679035241e-05,0.000305940740304544
"C100R50","simulation","SAS_parameter","threshold","common_inference_available",2500,0.9816,0.004,0.9816,0.9816,0,0,0,0,0,0,0,0,2454,2454,0,0,5.8405983546006e-05,0.000563904174900376,0.00112868578571934,9.7700211161289e-06,0.000125031042631951,0.000229480463447507,3.06258462384745e-05,0.000305940740304544
"C40R90","simulation","SAS_parameter","threshold","all_outputs",2500,1,0.0524,0.9476,0.9476,0,0,0,0,0,0,0,0,2369,2369,0.0652,0,9.59537442648539e-05,0.00153905702547874,0.0137835268476518,1.53881468858419e-05,0.000144392947184047,0.000861137580380644,4.81403363786909e-05,0.000719525745033867
"C40R90","simulation","SAS_parameter","threshold","both_point_converged",2500,0.8824,0.0524,0.8824,0.8824,0,0,0,0,0,0,0,0,2206,2206,0,0,0.000107222506107618,0.00155435748058341,0.0137835268476518,1.67937203897628e-05,0.000146023821909647,0.000861137580380644,5.45663423958676e-05,0.000728262549141601
"C40R90","simulation","SAS_parameter","threshold","common_point_converged",2500,0.8172,0.0524,0.8172,0.8172,0,0,0,0,0,0,0,0,2043,2043,0,0,9.68252469359943e-05,0.000799786663854718,0.00179983091215963,1.58944140616901e-05,0.000119340050922956,0.00019154239942909,4.9465249850611e-05,0.000413078677130141
"C40R90","simulation","SAS_parameter","threshold","common_inference_available",2500,0.8088,0.0524,0.8088,0.8088,0,0,0,0,0,0,0,0,2022,2022,0,0,9.52223737771263e-05,0.000789927094530185,0.00179983091215963,1.58957988716235e-05,0.000119340050922956,0.00019154239942909,4.8878522800333e-05,0.000409192895957755
"C100R90","simulation","SAS_parameter","threshold","all_outputs",2500,1,0.0044,0.9956,0.9956,0,0,0,0,0,0,0,0,2489,2489,0.0052,0,6.46639807033722e-05,0.000586222451023133,0.00142590116340013,1.01047829819123e-05,0.000129019186750123,0.000198952915791972,3.04123773203768e-05,0.000318019413739032
"C100R90","simulation","SAS_parameter","threshold","both_point_converged",2500,0.9904,0.0044,0.9904,0.9904,0,0,0,0,0,0,0,0,2476,2476,0,0,6.49565193557855e-05,0.000586222451023133,0.00142590116340013,1.01868035907726e-05,0.000129019186750123,0.000198952915791972,3.05697187679144e-05,0.000318019413739032
"C100R90","simulation","SAS_parameter","threshold","common_point_converged",2500,0.9792,0.0044,0.9792,0.9792,0,0,0,0,0,0,0,0,2448,2448,0,0,6.41953649394011e-05,0.000534501188617753,0.00124075335750184,1.01283866364987e-05,0.000126032249803232,0.000198952915791972,3.01941188268762e-05,0.000302624067316848
"C100R90","simulation","SAS_parameter","threshold","common_inference_available",2500,0.9792,0.0044,0.9792,0.9792,0,0,0,0,0,0,0,0,2448,2448,0,0,6.41953649394011e-05,0.000534501188617753,0.00124075335750184,1.01283866364987e-05,0.000126032249803232,0.000198952915791972,3.01941188268762e-05,0.000302624067316848
"C40R99","simulation","SAS_parameter","threshold","all_outputs",2500,1,0.0532,0.9468,0.9468,0,0,0,0,0,0,0,0,2367,2367,0.0696,0,0.000103739495341593,0.00154934689523234,0.00452762820955854,1.62079753649458e-05,0.000157242467063723,0.000941558389425001,5.25603540229014e-05,0.000735752833911807
"C40R99","simulation","SAS_parameter","threshold","both_point_converged",2500,0.8772,0.0532,0.8772,0.8772,0,0,0,0,0,0,0,0,2193,2193,0,0,0.000118779412465297,0.00164886277649323,0.00452762820955854,1.82498072970327e-05,0.000160492297002435,0.000941558389425001,5.92369318979102e-05,0.000794629771156297
"C40R99","simulation","SAS_parameter","threshold","common_point_converged",2500,0.7896,0.0532,0.7896,0.7896,0,0,0,0,0,0,0,0,1974,1974,0,0,0.000102373691712065,0.000799786663838731,0.00179983091213831,1.65063295034518e-05,0.000126231990602244,0.000191542399421651,5.22351985536851e-05,0.000393605013032428
"C40R99","simulation","SAS_parameter","threshold","common_inference_available",2500,0.7812,0.0532,0.7812,0.7812,0,0,0,0,0,0,0,0,1953,1953,0,0,0.00010070118205352,0.000775001501089001,0.00179983091213831,1.65063295034518e-05,0.000126231990602244,0.000191542399421651,5.14408181301815e-05,0.000389651212527209
"C100R99","simulation","SAS_parameter","threshold","all_outputs",2500,1,0.0044,0.9956,0.9956,0,0,0,0,0,0,0,0,2489,2489,0.0056,0,6.59008855836696e-05,0.000613567346913868,0.00263156994725477,1.10066517526874e-05,0.000128076187659421,0.000205015711244427,3.19998873825195e-05,0.000325596085784863
"C100R99","simulation","SAS_parameter","threshold","both_point_converged",2500,0.99,0.0044,0.99,0.99,0,0,0,0,0,0,0,0,2475,2475,0,0,6.63903977731195e-05,0.000613567346913868,0.00263156994725477,1.11021631600261e-05,0.000128076187659421,0.000205015711244427,3.23904121338758e-05,0.000325596085784863
"C100R99","simulation","SAS_parameter","threshold","common_point_converged",2500,0.9748,0.0044,0.9748,0.9748,0,0,0,0,0,0,0,0,2437,2437,0,0,6.53619760497826e-05,0.000564946892349205,0.00151674580364958,1.10616772599492e-05,0.000126032249804564,0.000198952915778206,3.18869575184344e-05,0.000317142567131778
"C100R99","simulation","SAS_parameter","threshold","common_inference_available",2500,0.9744,0.0044,0.9744,0.9744,0,0,0,0,0,0,0,0,2436,2436,0,0,6.53051095151902e-05,0.000551184657637815,0.00151674580364958,1.10616772599492e-05,0.000126032249804564,0.000198952915778206,3.18748687631043e-05,0.000311420339520918
"E020R1","exact","SAS_PL_control","profile","all_outputs",121,1,0.0165289256198347,0.983471074380165,0.983471074380165,0,0,0,0,,,0,0,119,119,0,0,1.87962692930199e-05,0.000171096590040882,0.000171096590289466,0,0,0,0,0
"E020R1","exact","SAS_PL_control","profile","both_point_converged",121,0.983471074380165,0.0165289256198347,0.983471074380165,0.983471074380165,0,0,0,0,,,0,0,119,119,0,0,1.87962692930199e-05,0.000171096590040882,0.000171096590289466,0,0,0,0,0
"E020R1","exact","SAS_PL_control","profile","common_point_converged",121,0.966942148760331,0.0165289256198347,0.966942148760331,0.966942148760331,0,0,0,0,,,0,0,117,117,0,0,1.87962692930199e-05,0.000171096590052713,0.000171096590289466,0,0,0,0,0
"E020R1","exact","SAS_PL_control","profile","common_inference_available",121,0.966942148760331,0.0165289256198347,0.966942148760331,0.966942148760331,0,0,0,0,,,0,0,117,117,0,0,1.87962692930199e-05,0.000171096590052713,0.000171096590289466,0,0,0,0,0
"E050R1","exact","SAS_PL_control","profile","all_outputs",676,1,0.0029585798816568,0.997041420118343,0.997041420118343,0,0,0,0,,,0,0,674,674,0,0,2.68127275160346e-07,6.10032279684525e-05,0.000138949977595004,0,0,0,0,0
"E050R1","exact","SAS_PL_control","profile","both_point_converged",676,0.997041420118343,0.0029585798816568,0.997041420118343,0.997041420118343,0,0,0,0,,,0,0,674,674,0,0,2.68127275160346e-07,6.10032279684525e-05,0.000138949977595004,0,0,0,0,0
"E050R1","exact","SAS_PL_control","profile","common_point_converged",676,0.994082840236686,0.0029585798816568,0.994082840236686,0.994082840236686,0,0,0,0,,,0,0,672,672,0,0,2.68127269442697e-07,6.10032279687012e-05,0.000138949977595004,0,0,0,0,0
"E050R1","exact","SAS_PL_control","profile","common_inference_available",676,0.994082840236686,0.0029585798816568,0.994082840236686,0.994082840236686,0,0,0,0,,,0,0,672,672,0,0,2.68127269442697e-07,6.10032279687012e-05,0.000138949977595004,0,0,0,0,0
"E100R1","exact","SAS_PL_control","profile","all_outputs",2601,1,0.000768935024990388,0.992310649750096,0.99923106497501,0,0,0,0,,,0,0,2581,2599,0,0,4.23669585281061e-06,2.93332094943642e-05,3.69917116360696e-05,0,0,0,0,0
"E100R1","exact","SAS_PL_control","profile","both_point_converged",2601,0.99923106497501,0.000768935024990388,0.992310649750096,0.99923106497501,0,0,0,0,,,0,0,2581,2599,0,0,4.23669585281061e-06,2.93332094943642e-05,3.69917116360696e-05,0,0,0,0,0
"E100R1","exact","SAS_PL_control","profile","common_point_converged",2601,0.998462129950019,0.000768935024990388,0.991541714725106,0.998462129950019,0,0,0,0,,,0,0,2579,2597,0,0,4.23669582616526e-06,2.91486266185981e-05,3.69917116360696e-05,0,0,0,0,0
"E100R1","exact","SAS_PL_control","profile","common_inference_available",2601,0.991541714725106,0.000768935024990388,0.991541714725106,0.991541714725106,0,0,0,0,,,0,0,2579,2579,0,0,4.23669582616526e-06,2.91486266185981e-05,3.69917116360696e-05,0,0,0,0,0
"E200R1","exact","SAS_PL_control","profile","all_outputs",10201,1,0.000196059209881384,0.987158121752769,0.999803940790118,0,0,0,0,,,0,0,10070,10199,0,0,3.61331627929395e-06,1.98334143659507e-05,6.93258937349839e-05,0,0,0,0,0
"E200R1","exact","SAS_PL_control","profile","both_point_converged",10201,0.999803940790118,0.000196059209881384,0.987158121752769,0.999803940790118,0,0,0,0,,,0,0,10070,10199,0,0,3.61331627929395e-06,1.98334143659507e-05,6.93258937349839e-05,0,0,0,0,0
"E200R1","exact","SAS_PL_control","profile","common_point_converged",10201,0.999607881580237,0.000196059209881384,0.986962062542888,0.999607881580237,0,0,0,0,,,0,0,10068,10197,0,0,3.61331620601923e-06,1.96890876681977e-05,6.93258937349839e-05,0,0,0,0,0
"E200R1","exact","SAS_PL_control","profile","common_inference_available",10201,0.986962062542888,0.000196059209881384,0.986962062542888,0.986962062542888,0,0,0,0,,,0,0,10068,10068,0,0,3.61331620601923e-06,1.96890876681977e-05,6.93258937349839e-05,0,0,0,0,0
