"a","c","b","d","config_id","design_id","scenario","n","n_exposed","n_unexposed","events","data_state","separation","sparsity_class","beta_reference","ci_available","ci_disagree","ci_delta","sas_point_converged","logistf_point_converged","sas_low","sas_high","logistf_low","logistf_high","aligned_ci_available","aligned_ci_disagree","aligned_decision","weight","decision","wald_logistf_decision","wald_brglm2_decision","wald_common_se","wald_common_sas_low","wald_common_sas_high","wald_common_logistf_low","wald_common_logistf_high","wald_common_se_decision"
21,22,4,3,"n50_21.4.22.3","E050R1","ENUM",50,25,25,43,"ok","none","none",-0.296776802357663,TRUE,FALSE,0.0535249802368603,TRUE,TRUE,-1.84360421040121,1.2500211910823,-1.89712919063807,1.22940168905862,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.789207376739122,-1.84360954440146,1.25002652508256,-1.84359483709968,1.25004123238435,"判定一致"
22,22,3,3,"n50_22.3.22.3","E050R1","ENUM",50,25,25,44,"ok","none","none",0,TRUE,FALSE,0.0250175521737186,TRUE,TRUE,-1.62419581594653,1.62419581594653,-1.64921336812025,1.64921336812023,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.82869183580518,-1.62420615246053,1.62420615246053,-1.62420615246053,1.62420615246053,"判定一致"
23,22,2,3,"n50_23.2.22.3","E050R1","ENUM",50,25,25,45,"ok","none","none",0.379957348560952,TRUE,FALSE,0.115147802341473,TRUE,TRUE,-1.37702379448194,2.1369671438262,-1.35073517446211,2.25211494616768,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.896448770713651,-1.37703562991183,2.13697897925609,-1.37704995602301,2.13696465314491,"判定一致"
24,22,1,3,"n50_24.1.22.3","E050R1","ENUM",50,25,25,46,"ok","none","none",0.932455668727511,TRUE,FALSE,0.352971812476976,TRUE,TRUE,-1.10355067495892,2.96853790306519,-0.960180094998731,3.32150971554217,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.03882019247329,-1.10355654960749,2.96854377771375,-1.10359449493311,2.96850583238813,"判定一致"
25,22,0,3,"n50_25.0.22.3","E050R1","ENUM",50,25,25,47,"ok","quasi_separation","quasi_separation",2.07107329200932,TRUE,FALSE,1.84507150233638,TRUE,TRUE,-1.00561364664129,5.14797122259149,-0.339037868822524,6.99304272492787,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.56976093501226,-1.00549610898685,5.14785368493705,-1.00560160495263,5.14774818897127,"判定一致"
0,23,25,2,"n50_0.25.23.2","E050R1","ENUM",50,25,25,23,"ok","quasi_separation","quasi_separation",-6.17253532200028,TRUE,FALSE,1.81133414645288,TRUE,TRUE,-9.32127439221325,-3.02373963779164,-11.1326085386661,-3.79379729715863,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.60656143140386,-9.32130955950513,-3.02370447049976,-9.32133786650235,-3.02373277749698,"判定一致"
1,23,24,2,"n50_1.24.23.2","E050R1","ENUM",50,25,25,24,"ok","none","none",-5.03391769871847,TRUE,FALSE,0.392645690873744,TRUE,TRUE,-7.17736923320476,-2.89042378603414,-7.57001492407851,-3.20344962341828,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.09363505433673,-7.17738182834995,-2.89041119088895,-7.17740301744895,-2.89043237998796,"判定一致"
2,23,23,2,"n50_2.23.23.2","E050R1","ENUM",50,25,25,25,"ok","none","none",-4.48141937855192,TRUE,FALSE,0.23683873116634,TRUE,TRUE,-6.36181159752459,-2.6009389652129,-6.59865032869093,-2.83079755093367,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.95943245635004,-6.36182834141362,-2.60092222132387,-6.36187243859679,-2.60096631850704,"判定一致"
3,23,22,2,"n50_3.22.23.2","E050R1","ENUM",50,25,25,26,"ok","none","none",-4.10146202999096,TRUE,FALSE,0.204760317981088,TRUE,TRUE,-5.8584014250218,-2.34442058077848,-6.06316174300289,-2.54426971687756,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.896448770713651,-5.8584183074841,-2.34440369831618,-5.85846933457492,-2.34445472540701,"判定一致"
4,23,21,2,"n50_4.21.23.2","E050R1","ENUM",50,25,25,27,"ok","none","none",-3.8046852276333,TRUE,FALSE,0.197753950299697,TRUE,TRUE,-5.49037288463274,-2.11894085635243,-5.68812683493243,-2.30482532273681,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.860080533021939,-5.4903837390196,-2.11893000196557,-5.49041209616031,-2.11895835910629,"判定一致"
5,23,20,2,"n50_5.20.23.2","E050R1","ENUM",50,25,25,28,"ok","none","none",-3.5563864831819,TRUE,FALSE,0.197306897785098,TRUE,TRUE,-5.19626756167353,-1.9164592227782,-5.39357445945863,-2.09480559516036,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.836706600641419,-5.19627819510998,-1.91644858934174,-5.19630128606601,-1.91647168029778,"判定一致"
6,23,19,2,"n50_6.19.23.2","E050R1","ENUM",50,25,25,29,"ok","none","none",-3.33932197794407,TRUE,FALSE,0.198640242219316,TRUE,TRUE,-4.94787272085468,-1.73071670496622,-5.14651296307399,-1.90448593472078,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.820724468066031,-4.94788511155066,-1.73070431427024,-4.94791237658428,-1.73073157930385,"判定一致"
7,23,18,2,"n50_7.18.23.2","E050R1","ENUM",50,25,25,30,"ok","none","none",-3.14357740081797,TRUE,FALSE,0.200271602408835,TRUE,TRUE,-4.72993543554638,-1.55715079214588,-4.93020703795522,-1.72780330503719,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.809406079809028,-4.72994987913958,-1.55713634855268,-4.72998416611142,-1.55717063552453,"判定一致"
8,23,17,2,"n50_8.17.23.2","E050R1","ENUM",50,25,25,31,"ok","none","none",-2.96284440670916,TRUE,FALSE,0.201691424348502,TRUE,TRUE,-4.53325134441524,-1.39235527472278,-4.73494276876375,-1.56061235051561,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.801272008592574,-4.53326758823053,-1.3923390309075,-4.53330868537067,-1.39238012804764,"判定一致"
9,23,16,2,"n50_9.16.23.2","E050R1","ENUM",50,25,25,32,"ok","none","none",-2.792778271576,TRUE,FALSE,0.202714629527807,TRUE,TRUE,-4.35179058182989,-1.23367319687275,-4.5545052113577,-1.39984992706674,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.795461693854434,-4.35180816038724,-1.23365561831541,-4.35185454261192,-1.23370200054008,"判定一致"
10,23,15,2,"n50_10.15.23.2","E050R1","ENUM",50,25,25,33,"ok","none","none",-2.63017445603768,TRUE,FALSE,0.203268925720174,TRUE,TRUE,-4.18132826146734,-1.07892153893318,-4.38459718718752,-1.24308306375489,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.791454175799271,-4.18134658018067,-1.07890322021986,-4.18139613601808,-1.07895277605728,"判定一致"
11,23,14,2,"n50_11.14.23.2","E050R1","ENUM",50,25,25,34,"ok","none","none",-2.47251130333328,TRUE,FALSE,0.203316896193703,TRUE,TRUE,-4.01872154862059,-0.926200329554733,-4.2220384448143,-1.08823574448356,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.78893234164196,-4.01873991494475,-0.926181963230572,-4.01879027919037,-0.92623232747619,"判定一致"
