"config_id","exposed_events","unexposed_events","beta_sas","beta_logistf","se_sas","se_logistf","low_sas","high_sas","low_logistf","high_logistf","exact_beta","ordinary_se","augmented_se","different","ordinary_outside","augmented_outside"
"n50_25.0.0.25",25,0,7.86359424611969,7.86365126544803,2.05947866082649,2.01951210516405,3.82709024397098,11.9000982482684,3.90548027298383,11.8218222579122,7.86365126544865,2.05950688939148,2.0195126571896,FALSE,TRUE,TRUE
"n50_0.25.1.24",0,1,-1.13882733600465,-1.13861762328119,1.69030327719567,1.65731603800448,-4.45176088225819,2.17410621024889,-4.38689736877058,2.10966212220821,-1.13861762328181,1.69013804958372,1.65731671067174,FALSE,FALSE,FALSE
"n50_1.24.1.24",1,1,0,-1.74122815961613e-16,1.21308442653031,1.18952332043273,-2.37760178620583,2.37760178620583,-2.33142286681865,2.33142286681865,0,1.21308063452119,1.18952342826636,FALSE,FALSE,FALSE
"n50_2.23.1.24",2,1,0.552505446149011,0.552498320166541,1.09361984017826,1.07239734072616,-1.59095005337884,2.69596094567686,-1.54936184477325,2.65435848510633,0.552498320166559,1.09363505433673,1.07239740054079,FALSE,FALSE,FALSE
"n50_3.22.1.24",3,1,0.932493614053133,0.932455668727492,1.03881719514854,1.01864694329556,-1.10355067495892,2.96853790306519,-1.06405565309362,2.9289669905486,0.93245566872751,1.03882019247329,1.01864700625683,FALSE,FALSE,FALSE
"n50_4.21.1.24",4,1,1.22945400472267,1.22923247108516,1.00766934448724,0.98803679843205,-0.745541618797408,3.20444962824275,-0.707284069241923,3.16574901141223,1.22923247108517,1.00760384926792,0.988036863343913,FALSE,FALSE,FALSE
"n50_5.20.1.24",5,1,1.47751047439999,1.47753121553656,0.987720402479592,0.968546093146689,-0.458385941255414,3.4134068900554,-0.420784244397926,3.37584667547105,1.47753121553658,0.987727153283311,0.968546159364818,FALSE,FALSE,FALSE
"n50_6.19.1.24",6,1,1.6945637104955,1.69459572077439,0.974215207871871,0.955306793681936,-0.214863010124565,3.60399043111557,-0.177771189028641,3.56696263057742,1.69459572077441,0.974225664955765,0.955306860817761,FALSE,FALSE,FALSE
"n50_7.18.1.24",7,1,1.89030276359346,1.89034029790048,0.964697928611177,0.945975820152948,-0.000470432444840574,3.78107595963176,0.0362617601549668,3.744418835646,1.8903402979005,0.964709902410073,0.945975887950991,TRUE,FALSE,TRUE
"n50_8.17.1.24",8,1,2.07103966859808,2.0710732920093,0.957885474115601,0.939293767089425,0.193618638017427,3.94846069917873,0.230091337611074,3.91205524640753,2.07107329200932,0.95789551910958,0.939293835369777,FALSE,TRUE,TRUE
