"config_id","exposed_events","unexposed_events","before_different","after_different","sas_wald_low","sas_wald_high","sas_pl_low","sas_pl_high","logistf_pl_low","logistf_pl_high","before_delta","after_delta"
"n50_20.5.7.18",20,7,FALSE,FALSE,0.926254508904204,3.51073060521048,1.00957252015409,3.56892100942589,1.00957254892396,3.56892099081072,0.0833180400197517,2.87698682654991e-08
"n50_21.4.7.18",21,7,FALSE,FALSE,1.11704892120311,3.81695072253878,1.21560368682181,3.89603766847829,1.21560375294949,3.8960376223451,0.098554831746376,6.61276777780273e-08
"n50_22.3.7.18",22,7,FALSE,FALSE,1.3256659298046,4.20151773792636,1.4494530160869,4.31962317081209,1.44945305976526,4.3195834987953,0.123787129960657,3.96720167890052e-05
"n50_23.2.7.18",23,7,FALSE,FALSE,1.55715079214588,4.72993543554638,1.72780328772143,4.93020709028066,1.72780330503719,4.9302070379552,0.200271602408813,5.23254577444732e-08
"n50_24.1.7.18",24,7,FALSE,FALSE,1.80527346705348,5.58684423395265,2.08740195637945,6.01614592078765,2.08740611366065,6.01614558480345,0.429301350850803,4.15728120017889e-06
"n50_25.0.7.18",25,7,FALSE,FALSE,1.85216126037328,7.81717976259276,2.65163429908265,9.72495863877712,2.65164392171752,9.72495341817819,1.90777365558543,9.62263487114257e-06
"n50_0.25.8.17",0,8,FALSE,FALSE,-6.18428257215665,-0.235530513877741,-8.09577974507883,-1.01986375962448,-8.09577744857357,-1.01986381625405,1.91149487641692,2.29650525973568e-06
"n50_1.24.8.17",1,8,FALSE,FALSE,-3.94846069917873,-0.193618638017429,-4.3755653426622,-0.449315207807557,-4.37556468230962,-0.449325580177133,0.427103983130889,1.03723695755731e-05
"n50_2.23.8.17",2,8,TRUE,FALSE,-3.08901821236266,0.0519001795074614,-3.27827038000669,-0.0856274688481265,-3.27827036592137,-0.0856278596625041,0.189252153558713,3.90814377651538e-07
"n50_3.22.8.17",3,8,FALSE,FALSE,-2.55899430956326,0.281629738468133,-2.65781536678039,0.195660617510288,-2.65781529669082,0.195660589445164,0.0988209871275654,7.00895683714009e-08
"n50_4.21.8.17",4,8,FALSE,FALSE,-2.17298349187681,0.489259443505227,-2.22619087527895,0.431698351020308,-2.22619068365561,0.431698174858756,0.0575612686464708,1.91623342082892e-07
"n50_5.20.8.17",5,8,FALSE,FALSE,-1.86618217000874,0.67905317297093,-1.89257127960568,0.639381188142975,-1.89257101009435,0.639380918316008,0.0396722546549222,2.69826966992071e-07
"n50_6.19.8.17",6,8,FALSE,FALSE,-1.60849249853549,0.855497522629415,-1.6175444804503,0.828059224277446,-1.61754418196939,0.82805892425094,0.0274385983784751,3.00026505972717e-07
"n50_7.18.8.17",7,8,FALSE,FALSE,-1.38335297298655,1.02244332836209,-1.38066553935128,1.0035905067475,-1.38066520489715,1.00359017362394,0.0188531547381507,3.34454129724548e-07
"n50_8.17.8.17",8,8,FALSE,FALSE,-1.18179535889391,1.18179535889391,-1.17000083792095,1.17000083792095,-1.17000056636022,1.17000056636023,0.0117947925336916,2.71560735454202e-07
